CML23-,Origin (Package),Packed?,Who/What,Description,Female parent,Male parent,Female genotype,Male genotype,Number/Selection,row_design,column_design,rep,block
4366,LANGEBIO, ,AL/JL,HI93,UNISEM21A_897,x sib,HI93-253,x sib,14K,25,6,1,25
4367,LANGEBIO, ,AL/JL,HI79,UNISEM21A_2,x sib,HI79-002,x sib,14K,25,7,1,25
4368,LANGEBIO, ,AL/JL,HI73,UNISEM21A_574,x sib,HI73-184,x sib,14K,25,8,1,25
4369,LANGEBIO, ,AL/JL,HI79,UNISEM21A_121,x sib,HI79-118,x sib,14K,25,9,1,25
4370,LANGEBIO, ,AL/JL,HI79,UNISEM21A_280,x sib,HI79-272,x sib,14K,25,10,1,25
4371,LANGEBIO, ,AL/JL,HI79,UNISEM21A_123,x sib,HI79-120,x sib,14K,25,11,1,25
4372,LANGEBIO, ,AL/JL,HI93,UNISEM21A_912,x sib,HI93-268,x sib,14K,25,12,1,25
4373,LANGEBIO, ,AL/JL,HI73,UNISEM21A_641,x sib,HI73-244,x sib,14K,25,13,1,25
4374,LANGEBIO, ,AL/JL,HI73,UNISEM21A_554,x sib,HI73-167,x sib,14K,25,14,1,25
4375,LANGEBIO, ,AL/JL,HI93,UNISEM21A_833,x sib,HI93-192,x sib,14K,25,15,1,25
4376,LANGEBIO, ,AL/JL,HI79,UNISEM21A_343,x sib,HI79-335,x sib,14K,26,15,1,26
4377,LANGEBIO, ,AL/JL,HI73,UNISEM21A_440,x sib,HI73-058,x sib,14K,26,14,1,26
4378,LANGEBIO, ,AL/JL,HERMES,HERMES,x sib,HERMES,x sib,14K,26,13,1,26
4379,LANGEBIO, ,AL/JL,HI79,UNISEM21A_291,x sib,HI79-283,x sib,14K,26,12,1,26
4380,LANGEBIO, ,AL/JL,HI73,UNISEM21A_676,x sib,HI73-276,x sib,14K,26,11,1,26
4381,LANGEBIO, ,AL/JL,HI93,UNISEM21A_1028,x sib,HI93-028,x sib,14K,26,10,1,26
4382,LANGEBIO, ,AL/JL,HI93,UNISEM21A_754,x sib,HI93-116,x sib,14K,26,9,1,26
4383,LANGEBIO, ,AL/JL,HI73,UNISEM21A_666,x sib,HI73-268,x sib,14K,26,8,1,26
4384,LANGEBIO, ,AL/JL,HI79,UNISEM21A_104,x sib,HI79-101,x sib,14K,26,7,1,26
4385,LANGEBIO, ,AL/JL,HI73,UNISEM21A_624,x sib,HI73-227,x sib,14K,26,6,1,26
4386,LANGEBIO, ,AL/JL,HI79,UNISEM21A_210,x sib,HI79-206,x sib,14K,26,5,1,26
4387,LANGEBIO, ,AL/JL,HI93,UNISEM21A_829,x sib,HI93-188,x sib,14K,26,4,1,26
4388,LANGEBIO, ,AL/JL,HI79,UNISEM21A_105,x sib,HI79-102,x sib,14K,26,3,1,26
4389,LANGEBIO, ,AL/JL,HI93,UNISEM21A_909,x sib,HI93-265,x sib,14K,26,2,1,26
4390,LANGEBIO, ,AL/JL,HI79,UNISEM21A_90,x sib,HI79-087,x sib,14K,26,1,1,26
4391,LANGEBIO, ,AL/JL,HI93,UNISEM21A_1029,x sib,HI93-029,x sib,14K,27,1,1,27
4392,LANGEBIO, ,AL/JL,HI79,UNISEM21A_239,x sib,HI79-232,x sib,14K,27,2,1,27
4393,LANGEBIO, ,AL/JL,HI93,UNISEM21A_1020,x sib,HI93-020,x sib,14K,27,3,1,27
4394,LANGEBIO, ,AL/JL,HI79,UNISEM21A_366,x sib,HI79-357,x sib,14K,27,4,1,27
4395,LANGEBIO, ,AL/JL,HI79,UNISEM21A_119,x sib,HI79-116,x sib,14K,27,5,1,27
4396,LANGEBIO, ,AL/JL,HI79,UNISEM21A_209,x sib,HI79-205,x sib,14K,27,6,1,27
4397,LANGEBIO, ,AL/JL,HI93,UNISEM21A_787,x sib,HI93-149,x sib,14K,27,7,1,27
4398,LANGEBIO, ,AL/JL,HI79,UNISEM21A_95,x sib,HI79-092,x sib,14K,27,8,1,27
4399,LANGEBIO, ,AL/JL,HI79,UNISEM21A_15,x sib,HI79-013,x sib,14K,27,9,1,27
4400,LANGEBIO, ,AL/JL,HI73,UNISEM21A_617,x sib,HI73-221,x sib,14K,27,10,1,27
4401,LANGEBIO, ,AL/JL,HERMES,HERMES,x sib,HERMES,x sib,14K,27,11,1,27
4402,LANGEBIO, ,AL/JL,HI73,UNISEM21A_434,x sib,HI73-052,x sib,14K,27,12,1,27
4403,LANGEBIO, ,AL/JL,HI73,UNISEM21A_431,x sib,HI73-049,x sib,14K,27,13,1,27
4404,LANGEBIO, ,AL/JL,HI93,UNISEM21A_1035,x sib,HI93-035,x sib,14K,27,14,1,27
4405,LANGEBIO, ,AL/JL,HI73,UNISEM21A_433,x sib,HI73-051,x sib,14K,27,15,1,27
4406,LANGEBIO, ,AL/JL,HI79,UNISEM21A_142,x sib,HI79-138,x sib,14K,28,15,1,28
4407,LANGEBIO, ,AL/JL,HI79,UNISEM21A_374,x sib,HI79-365,x sib,14K,28,14,1,28
4408,LANGEBIO, ,AL/JL,HI79,UNISEM21A_97,x sib,HI79-094,x sib,14K,28,13,1,28
4409,LANGEBIO, ,AL/JL,HI73,UNISEM21A_599,x sib,HI73-206,x sib,14K,28,12,1,28
4410,LANGEBIO, ,AL/JL,HI73,UNISEM21A_578,x sib,HI73-188,x sib,14K,28,11,1,28
4411,LANGEBIO, ,AL/JL,HI79,UNISEM21A_304,x sib,HI79-296,x sib,14K,28,10,1,28
4412,LANGEBIO, ,AL/JL,HI73,UNISEM21A_401,x sib,HI73-019,x sib,14K,28,9,1,28
4413,LANGEBIO, ,AL/JL,HI79,UNISEM21A_299,x sib,HI79-291,x sib,14K,28,8,1,28
4414,LANGEBIO, ,AL/JL,HI93,UNISEM21A_709,x sib,HI93-072,x sib,14K,28,7,1,28
4415,LANGEBIO, ,AL/JL,HI73,UNISEM21A_550,x sib,HI73-163,x sib,14K,28,6,1,28
4416,LANGEBIO, ,AL/JL,HERMES,HERMES,x sib,HERMES,x sib,14K,28,5,1,28
4417,LANGEBIO, ,AL/JL,HI93,UNISEM21A_1027,x sib,HI93-027,x sib,14K,28,4,1,28
4418,LANGEBIO, ,AL/JL,HI93,UNISEM21A_755,x sib,HI93-117,x sib,14K,28,3,1,28
4419,LANGEBIO, ,AL/JL,HI79,UNISEM21A_58,x sib,HI79-055,x sib,14K,28,2,1,28
4420,LANGEBIO, ,AL/JL,HI93,UNISEM21A_943,x sib,HI93-299,x sib,14K,28,1,1,28
4421,LANGEBIO, ,AL/JL,HI73,UNISEM21A_508,x sib,HI73-124,x sib,14K,29,1,1,29
4422,LANGEBIO, ,AL/JL,HERMES,HERMES,x sib,HERMES,x sib,14K,29,2,1,29
4423,LANGEBIO, ,AL/JL,HI79,UNISEM21A_164,x sib,HI79-160,x sib,14K,29,3,1,29
4424,LANGEBIO, ,AL/JL,HI73,UNISEM21A_659,x sib,HI73-262,x sib,14K,29,4,1,29
4425,LANGEBIO, ,AL/JL,HI93,UNISEM21A_975,x sib,HI93-330,x sib,14K,29,5,1,29
4426,LANGEBIO, ,AL/JL,HI79,UNISEM21A_102,x sib,HI79-099,x sib,14K,29,6,1,29
4427,LANGEBIO, ,AL/JL,HI93,UNISEM21A_873,x sib,HI93-232,x sib,14K,29,7,1,29
4428,LANGEBIO, ,AL/JL,HI79,UNISEM21A_39,x sib,HI79-036,x sib,14K,29,8,1,29
4429,LANGEBIO, ,AL/JL,HI79,UNISEM21A_344,x sib,HI79-336,x sib,14K,29,9,1,29
4430,LANGEBIO, ,AL/JL,HI93,UNISEM21A_762,x sib,HI93-124,x sib,14K,29,10,1,29
4431,LANGEBIO, ,AL/JL,HI73,UNISEM21A_470,x sib,HI73-088,x sib,14K,29,11,1,29
4432,LANGEBIO, ,AL/JL,HI79,UNISEM21A_194,x sib,HI79-190,x sib,14K,29,12,1,29
4433,LANGEBIO, ,AL/JL,HI79,UNISEM21A_331,x sib,HI79-323,x sib,14K,29,13,1,29
4434,LANGEBIO, ,AL/JL,HI73,UNISEM21A_451,x sib,HI73-069,x sib,14K,29,14,1,29
4435,LANGEBIO, ,AL/JL,HI93,UNISEM21A_854,x sib,HI93-213,x sib,14K,29,15,1,29
4436,LANGEBIO, ,AL/JL,HI73,UNISEM21A_456,x sib,HI73-074,x sib,14K,30,15,1,30
4437,LANGEBIO, ,AL/JL,HI79,UNISEM21A_174,x sib,HI79-170,x sib,14K,30,14,1,30
4438,LANGEBIO, ,AL/JL,HERMES,HERMES,x sib,HERMES,x sib,14K,30,13,1,30
4439,LANGEBIO, ,AL/JL,HI79,UNISEM21A_339,x sib,HI79-331,x sib,14K,30,12,1,30
4440,LANGEBIO, ,AL/JL,HI93,UNISEM21A_733,x sib,HI93-095,x sib,14K,30,11,1,30
4441,LANGEBIO, ,AL/JL,HI79,UNISEM21A_133,x sib,HI79-130,x sib,14K,30,10,1,30
4442,LANGEBIO, ,AL/JL,HI79,UNISEM21A_93,x sib,HI79-090,x sib,14K,30,9,1,30
4443,LANGEBIO, ,AL/JL,HI73,UNISEM21A_517,x sib,HI73-132,x sib,14K,30,8,1,30
4444,LANGEBIO, ,AL/JL,HI73,UNISEM21A_402,x sib,HI73-020,x sib,14K,30,7,1,30
4445,LANGEBIO, ,AL/JL,HI73,UNISEM21A_513,x sib,HI73-128,x sib,14K,30,6,1,30
4446,LANGEBIO, ,AL/JL,HI79,UNISEM21A_357,x sib,HI79-348,x sib,14K,30,5,1,30
4447,LANGEBIO, ,AL/JL,HI93,UNISEM21A_799,x sib,HI93-159,x sib,14K,30,4,1,30
4448,LANGEBIO, ,AL/JL,HI93,UNISEM21A_880,x sib,HI93-239,x sib,14K,30,3,1,30
4449,LANGEBIO, ,AL/JL,HI93,UNISEM21A_905,x sib,HI93-261,x sib,14K,30,2,1,30
4450,LANGEBIO, ,AL/JL,HI79,UNISEM21A_205,x sib,HI79-201,x sib,14K,30,1,1,30
4451,LANGEBIO, ,AL/JL,HI73,UNISEM21A_476,x sib,HI73-094,x sib,14K,31,1,1,31
4452,LANGEBIO, ,AL/JL,HI79,UNISEM21A_36,x sib,HI79-033,x sib,14K,31,2,1,31
4453,LANGEBIO, ,AL/JL,HI79,UNISEM21A_171,x sib,HI79-167,x sib,14K,31,3,1,31
4454,LANGEBIO, ,AL/JL,HI93,UNISEM21A_1008,x sib,HI93-009,x sib,14K,31,4,1,31
4455,LANGEBIO, ,AL/JL,HI73,UNISEM21A_406,x sib,HI73-024,x sib,14K,31,5,1,31
4456,LANGEBIO, ,AL/JL,HI93,UNISEM21A_1015,x sib,HI93-016,x sib,14K,31,6,1,31
4457,LANGEBIO, ,AL/JL,HI93,UNISEM21A_687,x sib,HI93-050,x sib,14K,31,7,1,31
4458,LANGEBIO, ,AL/JL,HI93,UNISEM21A_969,x sib,HI93-325,x sib,14K,31,8,1,31
4459,LANGEBIO, ,AL/JL,HI73,UNISEM21A_488,x sib,HI73-105,x sib,14K,31,9,1,31
4460,LANGEBIO, ,AL/JL,HI79,UNISEM21A_150,x sib,HI79-146,x sib,14K,31,10,1,31
4461,LANGEBIO, ,AL/JL,HI79,UNISEM21A_306,x sib,HI79-298,x sib,14K,31,11,1,31
4462,LANGEBIO, ,AL/JL,HI73,UNISEM21A_635,x sib,HI73-238,x sib,14K,31,12,1,31
4463,LANGEBIO, ,AL/JL,HI79,UNISEM21A_116,x sib,HI79-113,x sib,14K,31,13,1,31
4464,LANGEBIO, ,AL/JL,HERMES,HERMES,x sib,HERMES,x sib,14K,31,14,1,31
4465,LANGEBIO, ,AL/JL,HI79,UNISEM21A_163,x sib,HI79-159,x sib,14K,31,15,1,31
4466,LANGEBIO, ,AL/JL,HI79,UNISEM21A_319,x sib,HI79-311,x sib,14K,32,15,1,32
4467,LANGEBIO, ,AL/JL,HI79,UNISEM21A_236,x sib,HI79-229,x sib,14K,32,14,1,32
4468,LANGEBIO, ,AL/JL,HI79,UNISEM21A_131,x sib,HI79-128,x sib,14K,32,13,1,32
4469,LANGEBIO, ,AL/JL,HI79,UNISEM21A_188,x sib,HI79-184,x sib,14K,32,12,1,32
4470,LANGEBIO, ,AL/JL,HERMES,HERMES,x sib,HERMES,x sib,14K,32,11,1,32
4471,LANGEBIO, ,AL/JL,HI73,UNISEM21A_662,x sib,HI73-265,x sib,14K,32,10,1,32
4472,LANGEBIO, ,AL/JL,HI73,UNISEM21A_590,x sib,HI73-198,x sib,14K,32,9,1,32
4473,LANGEBIO, ,AL/JL,HI93,UNISEM21A_786,x sib,HI93-148,x sib,14K,32,8,1,32
4474,LANGEBIO, ,AL/JL,HI93,UNISEM21A_928,x sib,HI93-284,x sib,14K,32,7,1,32
4475,LANGEBIO, ,AL/JL,HI93,UNISEM21A_747,x sib,HI93-109,x sib,14K,32,6,1,32
4476,LANGEBIO, ,AL/JL,HI93,UNISEM21A_730,x sib,HI93-092,x sib,14K,32,5,1,32
4477,LANGEBIO, ,AL/JL,HI79,UNISEM21A_103,x sib,HI79-100,x sib,14K,32,4,1,32
4478,LANGEBIO, ,AL/JL,HI79,UNISEM21A_17,x sib,HI79-015,x sib,14K,32,3,1,32
4479,LANGEBIO, ,AL/JL,HI73,UNISEM21A_669,x sib,HI73-271,x sib,14K,32,2,1,32
4480,LANGEBIO, ,AL/JL,HI73,UNISEM21A_432,x sib,HI73-050,x sib,14K,32,1,1,32
4481,LANGEBIO, ,AL/JL,HI79,UNISEM21A_259,x sib,HI79-251,x sib,14K,33,1,1,33
4482,LANGEBIO, ,AL/JL,HI73,UNISEM21A_620,x sib,HI73-223,x sib,14K,33,2,1,33
4483,LANGEBIO, ,AL/JL,HI79,UNISEM21A_186,x sib,HI79-182,x sib,14K,33,3,1,33
4484,LANGEBIO, ,AL/JL,HI93,UNISEM21A_951,x sib,HI93-307,x sib,14K,33,4,1,33
4485,LANGEBIO, ,AL/JL,HI73,UNISEM21A_534,x sib,HI73-148,x sib,14K,33,5,1,33
4486,LANGEBIO, ,AL/JL,HI93,UNISEM21A_947,x sib,HI93-303,x sib,14K,33,6,1,33
4487,LANGEBIO, ,AL/JL,HI93,UNISEM21A_926,x sib,HI93-282,x sib,14K,33,7,1,33
4488,LANGEBIO, ,AL/JL,HI79,UNISEM21A_40,x sib,HI79-037,x sib,14K,33,8,1,33
4489,LANGEBIO, ,AL/JL,HI79,UNISEM21A_70,x sib,HI79-067,x sib,14K,33,9,1,33
4490,LANGEBIO, ,AL/JL,HI73,UNISEM21A_649,x sib,HI73-252,x sib,14K,33,10,1,33
4491,LANGEBIO, ,AL/JL,HI79,UNISEM21A_71,x sib,HI79-068,x sib,14K,33,11,1,33
4492,LANGEBIO, ,AL/JL,HI73,UNISEM21A_510,x sib,HI73-126,x sib,14K,33,12,1,33
4493,LANGEBIO, ,AL/JL,HERMES,HERMES,x sib,HERMES,x sib,14K,33,13,1,33
4494,LANGEBIO, ,AL/JL,HI93,UNISEM21A_915,x sib,HI93-271,x sib,14K,33,14,1,33
4495,LANGEBIO, ,AL/JL,HI79,UNISEM21A_346,x sib,HI79-338,x sib,14K,33,15,1,33
4496,LANGEBIO, ,AL/JL,HI93,UNISEM21A_753,x sib,HI93-115,x sib,14K,34,15,1,34
4497,LANGEBIO, ,AL/JL,HI79,UNISEM21A_187,x sib,HI79-183,x sib,14K,34,14,1,34
4498,LANGEBIO, ,AL/JL,HI93,UNISEM21A_695,x sib,HI93-058,x sib,14K,34,13,1,34
4499,LANGEBIO, ,AL/JL,HI73,UNISEM21A_441,x sib,HI73-059,x sib,14K,34,12,1,34
4500,LANGEBIO, ,AL/JL,HI79,UNISEM21A_220,x sib,HI79-216,x sib,14K,34,11,1,34
4501,LANGEBIO, ,AL/JL,HI79,UNISEM21A_288,x sib,HI79-280,x sib,14K,34,10,1,34
4502,LANGEBIO, ,AL/JL,HI79,UNISEM21A_3,x sib,HI79-003,x sib,14K,34,9,1,34
4503,LANGEBIO, ,AL/JL,HI79,UNISEM21A_222,x sib,HI79-217,x sib,14K,34,8,1,34
4504,LANGEBIO, ,AL/JL,HI73,UNISEM21A_422,x sib,HI73-040,x sib,14K,34,7,1,34
4505,LANGEBIO, ,AL/JL,HERMES,HERMES,x sib,HERMES,x sib,14K,34,6,1,34
4506,LANGEBIO, ,AL/JL,HI79,UNISEM21A_43,x sib,HI79-040,x sib,14K,34,5,1,34
4507,LANGEBIO, ,AL/JL,HI73,UNISEM21A_421,x sib,HI73-039,x sib,14K,34,4,1,34
4508,LANGEBIO, ,AL/JL,HI93,UNISEM21A_1024,x sib,HI93-024,x sib,14K,34,3,1,34
4509,LANGEBIO, ,AL/JL,HI73,UNISEM21A_597,x sib,HI73-204,x sib,14K,34,2,1,34
4510,LANGEBIO, ,AL/JL,HI93,UNISEM21A_946,x sib,HI93-302,x sib,14K,34,1,1,34
4511,LANGEBIO, ,AL/JL,HI73,UNISEM21A_436,x sib,HI73-054,x sib,14K,35,1,1,35
4512,LANGEBIO, ,AL/JL,HI93,UNISEM21A_757,x sib,HI93-119,x sib,14K,35,2,1,35
4513,LANGEBIO, ,AL/JL,HI79,UNISEM21A_329,x sib,HI79-321,x sib,14K,35,3,1,35
4514,LANGEBIO, ,AL/JL,HI79,UNISEM21A_162,x sib,HI79-158,x sib,14K,35,4,1,35
4515,LANGEBIO, ,AL/JL,HI73,UNISEM21A_543,x sib,HI73-156,x sib,14K,35,5,1,35
4516,LANGEBIO, ,AL/JL,HI93,UNISEM21A_995,x sib,HI93-349,x sib,14K,35,6,1,35
4517,LANGEBIO, ,AL/JL,HI73,UNISEM21A_611,x sib,HI73-216,x sib,14K,35,7,1,35
4518,LANGEBIO, ,AL/JL,HI79,UNISEM21A_363,x sib,HI79-354,x sib,14K,35,8,1,35
4519,LANGEBIO, ,AL/JL,HI79,UNISEM21A_96,x sib,HI79-093,x sib,14K,35,9,1,35
4520,LANGEBIO, ,AL/JL,HERMES,HERMES,x sib,HERMES,x sib,14K,35,10,1,35
4521,LANGEBIO, ,AL/JL,HI79,UNISEM21A_140,x sib,HI79-136,x sib,14K,35,11,1,35
4522,LANGEBIO, ,AL/JL,HI73,UNISEM21A_460,x sib,HI73-078,x sib,14K,35,12,1,35
4523,LANGEBIO, ,AL/JL,HI93,UNISEM21A_774,x sib,HI93-136,x sib,14K,35,13,1,35
4524,LANGEBIO, ,AL/JL,HI93,UNISEM21A_858,x sib,HI93-217,x sib,14K,35,14,1,35
4525,LANGEBIO, ,AL/JL,HI79,UNISEM21A_135,x sib,HI79-132,x sib,14K,35,15,1,35
4526,LANGEBIO, ,AL/JL,HI93,UNISEM21A_859,x sib,HI93-218,x sib,14K,36,15,1,36
4527,LANGEBIO, ,AL/JL,HI79,UNISEM21A_179,x sib,HI79-175,x sib,14K,36,14,1,36
4528,LANGEBIO, ,AL/JL,HI79,UNISEM21A_295,x sib,HI79-287,x sib,14K,36,13,1,36
4529,LANGEBIO, ,AL/JL,HI73,UNISEM21A_540,x sib,HI73-153,x sib,14K,36,12,1,36
4530,LANGEBIO, ,AL/JL,HERMES,HERMES,x sib,HERMES,x sib,14K,36,11,1,36
4531,LANGEBIO, ,AL/JL,HI73,UNISEM21A_448,x sib,HI73-066,x sib,14K,36,10,1,36
4532,LANGEBIO, ,AL/JL,HI79,UNISEM21A_318,x sib,HI79-310,x sib,14K,36,9,1,36
4533,LANGEBIO, ,AL/JL,HI79,UNISEM21A_323,x sib,HI79-315,x sib,14K,36,8,1,36
4534,LANGEBIO, ,AL/JL,HI73,UNISEM21A_613,x sib,HI73-217,x sib,14K,36,7,1,36
4535,LANGEBIO, ,AL/JL,HI93,UNISEM21A_870,x sib,HI93-229,x sib,14K,36,6,1,36
4536,LANGEBIO, ,AL/JL,HI73,UNISEM21A_501,x sib,HI73-117,x sib,14K,36,5,1,36
4537,LANGEBIO, ,AL/JL,HI79,UNISEM21A_88,x sib,HI79-085,x sib,14K,36,4,1,36
4538,LANGEBIO, ,AL/JL,HI93,UNISEM21A_932,x sib,HI93-288,x sib,14K,36,3,1,36
4539,LANGEBIO, ,AL/JL,HI79,UNISEM21A_183,x sib,HI79-179,x sib,14K,36,2,1,36
4540,LANGEBIO, ,AL/JL,HI93,UNISEM21A_980,x sib,HI93-335,x sib,14K,36,1,1,36
4541,LANGEBIO, ,AL/JL,HI93,UNISEM21A_805,x sib,HI93-164,x sib,14K,37,1,1,37
4542,LANGEBIO, ,AL/JL,HI93,UNISEM21A_916,x sib,HI93-272,x sib,14K,37,2,1,37
4543,LANGEBIO, ,AL/JL,HI73,UNISEM21A_589,x sib,HI73-197,x sib,14K,37,3,1,37
4544,LANGEBIO, ,AL/JL,HI73,UNISEM21A_505,x sib,HI73-121,x sib,14K,37,4,1,37
4545,LANGEBIO, ,AL/JL,HI73,UNISEM21A_412,x sib,HI73-030,x sib,14K,37,5,1,37
4546,LANGEBIO, ,AL/JL,HI79,UNISEM21A_362,x sib,HI79-353,x sib,14K,37,6,1,37
4547,LANGEBIO, ,AL/JL,HERMES,HERMES,x sib,HERMES,x sib,14K,37,7,1,37
4548,LANGEBIO, ,AL/JL,HI79,UNISEM21A_125,x sib,HI79-122,x sib,14K,37,8,1,37
4549,LANGEBIO, ,AL/JL,HI93,UNISEM21A_922,x sib,HI93-278,x sib,14K,37,9,1,37
4550,LANGEBIO, ,AL/JL,HI79,UNISEM21A_265,x sib,HI79-257,x sib,14K,37,10,1,37
4551,LANGEBIO, ,AL/JL,HI93,UNISEM21A_765,x sib,HI93-127,x sib,14K,37,11,1,37
4552,LANGEBIO, ,AL/JL,HI73,UNISEM21A_457,x sib,HI73-075,x sib,14K,37,12,1,37
4553,LANGEBIO, ,AL/JL,HI79,UNISEM21A_130,x sib,HI79-127,x sib,14K,37,13,1,37
4554,LANGEBIO, ,AL/JL,HI79,UNISEM21A_168,x sib,HI79-164,x sib,14K,37,14,1,37
4555,LANGEBIO, ,AL/JL,HI79,UNISEM21A_138,x sib,HI79-135,x sib,14K,37,15,1,37
4556,LANGEBIO, ,AL/JL,HI73,UNISEM21A_388,x sib,HI73-006,x sib,14K,38,15,1,38
4557,LANGEBIO, ,AL/JL,HI79,UNISEM21A_296,x sib,HI79-288,x sib,14K,38,14,1,38
4558,LANGEBIO, ,AL/JL,HI79,UNISEM21A_272,x sib,HI79-264,x sib,14K,38,13,1,38
4559,LANGEBIO, ,AL/JL,HI79,UNISEM21A_208,x sib,HI79-204,x sib,14K,38,12,1,38
4560,LANGEBIO, ,AL/JL,HI93,UNISEM21A_1023,x sib,HI93-023,x sib,14K,38,11,1,38
4561,LANGEBIO, ,AL/JL,HI79,UNISEM21A_247,x sib,HI79-240,x sib,14K,38,10,1,38
4562,LANGEBIO, ,AL/JL,HI93,UNISEM21A_1031,x sib,HI93-031,x sib,14K,38,9,1,38
4563,LANGEBIO, ,AL/JL,HI79,UNISEM21A_310,x sib,HI79-302,x sib,14K,38,8,1,38
4564,LANGEBIO, ,AL/JL,HI73,UNISEM21A_630,x sib,HI73-233,x sib,14K,38,7,1,38
4565,LANGEBIO, ,AL/JL,HI79,UNISEM21A_122,x sib,HI79-119,x sib,14K,38,6,1,38
4566,LANGEBIO, ,AL/JL,HERMES,HERMES,x sib,HERMES,x sib,14K,38,5,1,38
4567,LANGEBIO, ,AL/JL,HI73,UNISEM21A_400,x sib,HI73-018,x sib,14K,38,4,1,38
4568,LANGEBIO, ,AL/JL,HI73,UNISEM21A_573,x sib,HI73-183,x sib,14K,38,3,1,38
4569,LANGEBIO, ,AL/JL,HI79,UNISEM21A_262,x sib,HI79-254,x sib,14K,38,2,1,38
4570,LANGEBIO, ,AL/JL,HI93,UNISEM21A_1010,x sib,HI93-011,x sib,14K,38,1,1,38
4571,LANGEBIO, ,AL/JL,HI73,UNISEM21A_561,x sib,HI73-174,x sib,14K,39,1,1,39
4572,LANGEBIO, ,AL/JL,HI79,UNISEM21A_293,x sib,HI79-285,x sib,14K,39,2,1,39
4573,LANGEBIO, ,AL/JL,HI93,UNISEM21A_722,x sib,HI93-084,x sib,14K,39,3,1,39
4574,LANGEBIO, ,AL/JL,HI73,UNISEM21A_619,x sib,HI73-222,x sib,14K,39,4,1,39
4575,LANGEBIO, ,AL/JL,HI93,UNISEM21A_960,x sib,HI93-316,x sib,14K,39,5,1,39
4576,LANGEBIO, ,AL/JL,HI73,UNISEM21A_555,x sib,HI73-168,x sib,14K,39,6,1,39
4577,LANGEBIO, ,AL/JL,HERMES,HERMES,x sib,HERMES,x sib,14K,39,7,1,39
4578,LANGEBIO, ,AL/JL,HI79,UNISEM21A_1,x sib,HI79-001,x sib,14K,39,8,1,39
4579,LANGEBIO, ,AL/JL,HI79,UNISEM21A_149,x sib,HI79-145,x sib,14K,39,9,1,39
4580,LANGEBIO, ,AL/JL,HI93,UNISEM21A_827,x sib,HI93-186,x sib,14K,39,10,1,39
4581,LANGEBIO, ,AL/JL,HI79,UNISEM21A_358,x sib,HI79-349,x sib,14K,39,11,1,39
4582,LANGEBIO, ,AL/JL,HI93,UNISEM21A_985,x sib,HI93-339,x sib,14K,39,12,1,39
4583,LANGEBIO, ,AL/JL,HI79,UNISEM21A_28,x sib,HI79-025,x sib,14K,39,13,1,39
4584,LANGEBIO, ,AL/JL,HI73,UNISEM21A_600,x sib,HI73-207,x sib,14K,39,14,1,39
4585,LANGEBIO, ,AL/JL,HI79,UNISEM21A_134,x sib,HI79-131,x sib,14K,39,15,1,39
4586,LANGEBIO, ,AL/JL,HI73,UNISEM21A_411,x sib,HI73-029,x sib,14K,40,15,1,40
4587,LANGEBIO, ,AL/JL,HERMES,HERMES,x sib,HERMES,x sib,14K,40,14,1,40
4588,LANGEBIO, ,AL/JL,HI79,UNISEM21A_155,x sib,HI79-151,x sib,14K,40,13,1,40
4589,LANGEBIO, ,AL/JL,HI79,UNISEM21A_143,x sib,HI79-139,x sib,14K,40,12,1,40
4590,LANGEBIO, ,AL/JL,HI73,UNISEM21A_529,x sib,HI73-143,x sib,14K,40,11,1,40
4591,LANGEBIO, ,AL/JL,HI73,UNISEM21A_392,x sib,HI73-010,x sib,14K,40,10,1,40
4592,LANGEBIO, ,AL/JL,HI93,UNISEM21A_835,x sib,HI93-194,x sib,14K,40,9,1,40
4593,LANGEBIO, ,AL/JL,HI93,UNISEM21A_688,x sib,HI93-051,x sib,14K,40,8,1,40
4594,LANGEBIO, ,AL/JL,HI93,UNISEM21A_1000,x sib,HI93-001,x sib,14K,40,7,1,40
4595,LANGEBIO, ,AL/JL,HI73,UNISEM21A_539,x sib,HI73-152,x sib,14K,40,6,1,40
4596,LANGEBIO, ,AL/JL,HI79,UNISEM21A_312,x sib,HI79-304,x sib,14K,40,5,1,40
4597,LANGEBIO, ,AL/JL,HI79,UNISEM21A_231,x sib,HI79-224,x sib,14K,40,4,1,40
4598,LANGEBIO, ,AL/JL,HI93,UNISEM21A_743,x sib,HI93-105,x sib,14K,40,3,1,40
4599,LANGEBIO, ,AL/JL,HI79,UNISEM21A_211,x sib,HI79-207,x sib,14K,40,2,1,40
4600,LANGEBIO, ,AL/JL,HI79,UNISEM21A_355,x sib,HI79-346,x sib,14K,40,1,1,40
4601,LANGEBIO, ,AL/JL,HI73,UNISEM21A_547,x sib,HI73-160,x sib,14K,41,1,1,41
4602,LANGEBIO, ,AL/JL,HI79,UNISEM21A_152,x sib,HI79-148,x sib,14K,41,2,1,41
4603,LANGEBIO, ,AL/JL,HI93,UNISEM21A_1036,x sib,HI93-036,x sib,14K,41,3,1,41
4604,LANGEBIO, ,AL/JL,HI79,UNISEM21A_330,x sib,HI79-322,x sib,14K,41,4,1,41
4605,LANGEBIO, ,AL/JL,HI79,UNISEM21A_303,x sib,HI79-295,x sib,14K,41,5,1,41
4606,LANGEBIO, ,AL/JL,HI73,UNISEM21A_424,x sib,HI73-042,x sib,14K,41,6,1,41
