CML23-,Origin (Package),Packed?,Who/What,Description,Female parent,Male parent,Female genotype,Male genotype,Number/Selection,row_design,column_design,rep
2865,LANGEBIO, ,AL/JL,HI79,UNISEM21A_176,x sib,HI79-172,x sib,14K,35,15,1
2866,LANGEBIO, ,AL/JL,HI79,UNISEM21A_315,x sib,HI79-307,x sib,14K,35,16,1
2867,LANGEBIO, ,AL/JL,HI79,UNISEM21A_373,x sib,HI79-364,x sib,14K,35,17,1
2868,LANGEBIO, ,AL/JL,HI79,UNISEM21A_270,x sib,HI79-262,x sib,14K,35,18,1
2869,LANGEBIO, ,AL/JL,HI93,UNISEM21A_679,x sib,HI93-042,x sib,14K,35,19,1
2870,LANGEBIO, ,AL/JL,HI79,UNISEM21A_5,x sib,HI79-005,x sib,14K,35,20,1
2871,LANGEBIO, ,AL/JL,HI79,UNISEM21A_103,x sib,HI79-100,x sib,14K,35,21,1
2872,LANGEBIO, ,AL/JL,HI79,UNISEM21A_170,x sib,HI79-166,x sib,14K,35,22,2
2873,LANGEBIO, ,AL/JL,HI79,UNISEM21A_121,x sib,HI79-118,x sib,14K,35,23,1
2874,LANGEBIO, ,AL/JL,HI79,UNISEM21A_95,x sib,HI79-092,x sib,14K,35,24,1
2875,LANGEBIO, ,AL/JL,HI93,UNISEM21A_703,x sib,HI93-066,x sib,14K,35,25,1
2876,LANGEBIO, ,AL/JL,HI79,UNISEM21A_59,x sib,HI79-056,x sib,14K,36,25,2
2877,LANGEBIO, ,AL/JL,HI79,UNISEM21A_170,x sib,HI79-166,x sib,14K,36,24,2
2878,LANGEBIO, ,AL/JL,HI93,UNISEM21A_693,x sib,HI93-056,x sib,14K,36,23,1
2879,LANGEBIO, ,AL/JL,HI93,UNISEM21A_1026,x sib,HI93-026,x sib,14K,36,22,2
2880,LANGEBIO, ,AL/JL,HI93,UNISEM21A_743,x sib,HI93-105,x sib,14K,36,21,2
2881,LANGEBIO, ,AL/JL,HI73,UNISEM21A_410,x sib,HI73-028,x sib,14K,36,20,1
2882,LANGEBIO, ,AL/JL,HI73,UNISEM21A_411,x sib,HI73-029,x sib,14K,36,19,2
2883,LANGEBIO, ,AL/JL,HI79,UNISEM21A_372,x sib,HI79-363,x sib,14K,36,18,1
2884,LANGEBIO, ,AL/JL,HI79,UNISEM21A_178,x sib,HI79-174,x sib,14K,36,17,1
2885,LANGEBIO, ,AL/JL,HI93,UNISEM21A_925,x sib,HI93-281,x sib,14K,36,16,1
2886,LANGEBIO, ,AL/JL,HI93,UNISEM21A_760,x sib,HI93-122,x sib,14K,36,15,1
2887,LANGEBIO, ,AL/JL,HI93,UNISEM21A_978,x sib,HI93-333,x sib,14K,36,14,1
2888,LANGEBIO, ,AL/JL,HI73,UNISEM21A_387,x sib,HI73-005,x sib,14K,36,13,2
2889,LANGEBIO, ,AL/JL,HI93,UNISEM21A_796,x sib,HI93-157,x sib,14K,36,12,2
2890,LANGEBIO, ,AL/JL,HI93,UNISEM21A_929,x sib,HI93-285,x sib,14K,36,11,2
2891,LANGEBIO, ,AL/JL,HI93,UNISEM21A_1016,x sib,HI93-017,x sib,14K,36,10,1
2892,LANGEBIO, ,AL/JL,CHECK,NA,x sib,CHECK,x sib,14K,36,9,50
2893,LANGEBIO, ,AL/JL,CHECK,NA,x sib,CHECK,x sib,14K,36,8,50
2894,LANGEBIO, ,AL/JL,HI79,UNISEM21A_157,x sib,HI79-153,x sib,14K,36,7,2
2895,LANGEBIO, ,AL/JL,HI73,UNISEM21A_489,x sib,HI73-106,x sib,14K,36,6,2
2896,LANGEBIO, ,AL/JL,HI93,UNISEM21A_973,x sib,HI93-328,x sib,14K,36,5,1
2897,LANGEBIO, ,AL/JL,HI79,UNISEM21A_140,x sib,HI79-136,x sib,14K,36,4,2
2898,LANGEBIO, ,AL/JL,HI73,UNISEM21A_422,x sib,HI73-040,x sib,14K,36,3,2
2899,LANGEBIO, ,AL/JL,HI79,UNISEM21A_202,x sib,HI79-198,x sib,14K,36,2,2
2900,LANGEBIO, ,AL/JL,HI79,UNISEM21A_276,x sib,HI79-268,x sib,14K,36,1,1
2901,LANGEBIO, ,AL/JL,HI93,UNISEM21A_754,x sib,HI93-116,x sib,14K,37,1,1
2902,LANGEBIO, ,AL/JL,HI93,UNISEM21A_730,x sib,HI93-092,x sib,14K,37,2,1
2903,LANGEBIO, ,AL/JL,HI73,UNISEM21A_472,x sib,HI73-090,x sib,14K,37,3,2
2904,LANGEBIO, ,AL/JL,HI79,UNISEM21A_134,x sib,HI79-131,x sib,14K,37,4,1
2905,LANGEBIO, ,AL/JL,HI79,UNISEM21A_285,x sib,HI79-277,x sib,14K,37,5,2
2906,LANGEBIO, ,AL/JL,HI73,UNISEM21A_626,x sib,HI73-229,x sib,14K,37,6,2
2907,LANGEBIO, ,AL/JL,HI93,UNISEM21A_852,x sib,HI93-211,x sib,14K,37,7,1
2908,LANGEBIO, ,AL/JL,HI73,UNISEM21A_508,x sib,HI73-124,x sib,14K,37,8,2
2909,LANGEBIO, ,AL/JL,HI73,UNISEM21A_547,x sib,HI73-160,x sib,14K,37,9,2
2910,LANGEBIO, ,AL/JL,HI79,UNISEM21A_381,x sib,HI79-372,x sib,14K,37,10,2
2911,LANGEBIO, ,AL/JL,HI93,UNISEM21A_946,x sib,HI93-302,x sib,14K,37,11,1
2912,LANGEBIO, ,AL/JL,HI93,UNISEM21A_820,x sib,HI93-179,x sib,14K,37,12,2
2913,LANGEBIO, ,AL/JL,HI93,UNISEM21A_833,x sib,HI93-192,x sib,14K,37,13,1
2914,LANGEBIO, ,AL/JL,HI73,UNISEM21A_437,x sib,HI73-055,x sib,14K,37,14,1
2915,LANGEBIO, ,AL/JL,HI73,UNISEM21A_420,x sib,HI73-038,x sib,14K,37,15,2
2916,LANGEBIO, ,AL/JL,HI73,UNISEM21A_620,x sib,HI73-223,x sib,14K,37,16,1
2917,LANGEBIO, ,AL/JL,CHECK,NA,x sib,CHECK,x sib,14K,37,17,50
2918,LANGEBIO, ,AL/JL,HI73,UNISEM21A_426,x sib,HI73-044,x sib,14K,37,18,2
2919,LANGEBIO, ,AL/JL,HI73,UNISEM21A_475,x sib,HI73-093,x sib,14K,37,19,2
2920,LANGEBIO, ,AL/JL,HI73,UNISEM21A_424,x sib,HI73-042,x sib,14K,37,20,2
2921,LANGEBIO, ,AL/JL,HI73,UNISEM21A_400,x sib,HI73-018,x sib,14K,37,21,1
2922,LANGEBIO, ,AL/JL,HI73,UNISEM21A_397,x sib,HI73-015,x sib,14K,37,22,1
2923,LANGEBIO, ,AL/JL,HI73,UNISEM21A_393,x sib,HI73-011,x sib,14K,37,23,2
2924,LANGEBIO, ,AL/JL,HI79,UNISEM21A_132,x sib,HI79-129,x sib,14K,37,24,2
2925,LANGEBIO, ,AL/JL,HI73,UNISEM21A_540,x sib,HI73-153,x sib,14K,37,25,1
2926,LANGEBIO, ,AL/JL,HI93,UNISEM21A_746,x sib,HI93-108,x sib,14K,38,25,1
2927,LANGEBIO, ,AL/JL,HI93,UNISEM21A_1024,x sib,HI93-024,x sib,14K,38,24,1
2928,LANGEBIO, ,AL/JL,HI73,UNISEM21A_418,x sib,HI73-036,x sib,14K,38,23,1
2929,LANGEBIO, ,AL/JL,HI79,UNISEM21A_88,x sib,HI79-085,x sib,14K,38,22,2
2930,LANGEBIO, ,AL/JL,HI79,UNISEM21A_267,x sib,HI79-259,x sib,14K,38,21,2
2931,LANGEBIO, ,AL/JL,HI79,UNISEM21A_137,x sib,HI79-134,x sib,14K,38,20,2
2932,LANGEBIO, ,AL/JL,CHECK,NA,x sib,CHECK,x sib,14K,38,19,50
2933,LANGEBIO, ,AL/JL,HI79,UNISEM21A_145,x sib,HI79-141,x sib,14K,38,18,1
2934,LANGEBIO, ,AL/JL,HI93,UNISEM21A_869,x sib,HI93-228,x sib,14K,38,17,1
2935,LANGEBIO, ,AL/JL,HI79,UNISEM21A_24,x sib,HI79-021,x sib,14K,38,16,1
2936,LANGEBIO, ,AL/JL,HI73,UNISEM21A_424,x sib,HI73-042,x sib,14K,38,15,2
2937,LANGEBIO, ,AL/JL,HI73,UNISEM21A_406,x sib,HI73-024,x sib,14K,38,14,2
2938,LANGEBIO, ,AL/JL,HI93,UNISEM21A_964,x sib,HI93-320,x sib,14K,38,13,2
2939,LANGEBIO, ,AL/JL,CHECK,NA,x sib,CHECK,x sib,14K,38,12,50
2940,LANGEBIO, ,AL/JL,HI79,UNISEM21A_21,x sib,HI79-019,x sib,14K,38,11,2
2941,LANGEBIO, ,AL/JL,HI79,UNISEM21A_150,x sib,HI79-146,x sib,14K,38,10,2
2942,LANGEBIO, ,AL/JL,HI93,UNISEM21A_909,x sib,HI93-265,x sib,14K,38,9,1
2943,LANGEBIO, ,AL/JL,HI73,UNISEM21A_436,x sib,HI73-054,x sib,14K,38,8,1
2944,LANGEBIO, ,AL/JL,HI79,UNISEM21A_194,x sib,HI79-190,x sib,14K,38,7,1
2945,LANGEBIO, ,AL/JL,HI73,UNISEM21A_485,x sib,HI73-102,x sib,14K,38,6,1
2946,LANGEBIO, ,AL/JL,HI73,UNISEM21A_438,x sib,HI73-056,x sib,14K,38,5,1
2947,LANGEBIO, ,AL/JL,HI73,UNISEM21A_603,x sib,HI73-210,x sib,14K,38,4,1
2948,LANGEBIO, ,AL/JL,HI73,UNISEM21A_599,x sib,HI73-206,x sib,14K,38,3,1
2949,LANGEBIO, ,AL/JL,HI79,UNISEM21A_362,x sib,HI79-353,x sib,14K,38,2,1
2950,LANGEBIO, ,AL/JL,HI79,UNISEM21A_338,x sib,HI79-330,x sib,14K,38,1,1
2951,LANGEBIO, ,AL/JL,HI73,UNISEM21A_634,x sib,HI73-237,x sib,14K,39,1,1
2952,LANGEBIO, ,AL/JL,HI79,UNISEM21A_167,x sib,HI79-163,x sib,14K,39,2,1
2953,LANGEBIO, ,AL/JL,HI93,UNISEM21A_766,x sib,HI93-128,x sib,14K,39,3,2
2954,LANGEBIO, ,AL/JL,HI93,UNISEM21A_753,x sib,HI93-115,x sib,14K,39,4,1
2955,LANGEBIO, ,AL/JL,HI93,UNISEM21A_844,x sib,HI93-203,x sib,14K,39,5,2
2956,LANGEBIO, ,AL/JL,HI79,UNISEM21A_131,x sib,HI79-128,x sib,14K,39,6,1
2957,LANGEBIO, ,AL/JL,HI79,UNISEM21A_66,x sib,HI79-063,x sib,14K,39,7,2
2958,LANGEBIO, ,AL/JL,CHECK,NA,x sib,CHECK,x sib,14K,39,8,50
2959,LANGEBIO, ,AL/JL,HI73,UNISEM21A_499,x sib,HI73-116,x sib,14K,39,9,1
2960,LANGEBIO, ,AL/JL,HI79,UNISEM21A_307,x sib,HI79-299,x sib,14K,39,10,1
2961,LANGEBIO, ,AL/JL,HI93,UNISEM21A_785,x sib,HI93-147,x sib,14K,39,11,2
2962,LANGEBIO, ,AL/JL,HI79,UNISEM21A_295,x sib,HI79-287,x sib,14K,39,12,1
2963,LANGEBIO, ,AL/JL,HI73,UNISEM21A_421,x sib,HI73-039,x sib,14K,39,13,1
2964,LANGEBIO, ,AL/JL,HI73,UNISEM21A_473,x sib,HI73-091,x sib,14K,39,14,1
2965,LANGEBIO, ,AL/JL,HI79,UNISEM21A_328,x sib,HI79-320,x sib,14K,39,15,1
2966,LANGEBIO, ,AL/JL,CHECK,NA,x sib,CHECK,x sib,14K,39,16,50
2967,LANGEBIO, ,AL/JL,HI73,UNISEM21A_622,x sib,HI73-225,x sib,14K,39,17,2
2968,LANGEBIO, ,AL/JL,HI73,UNISEM21A_557,x sib,HI73-170,x sib,14K,39,18,1
2969,LANGEBIO, ,AL/JL,HI79,UNISEM21A_332,x sib,HI79-324,x sib,14K,39,19,1
2970,LANGEBIO, ,AL/JL,HI73,UNISEM21A_445,x sib,HI73-063,x sib,14K,39,20,2
2971,LANGEBIO, ,AL/JL,HI79,UNISEM21A_74,x sib,HI79-071,x sib,14K,39,21,2
2972,LANGEBIO, ,AL/JL,HI79,UNISEM21A_318,x sib,HI79-310,x sib,14K,39,22,2
2973,LANGEBIO, ,AL/JL,HI79,UNISEM21A_98,x sib,HI79-095,x sib,14K,39,23,2
2974,LANGEBIO, ,AL/JL,HI73,UNISEM21A_405,x sib,HI73-023,x sib,14K,39,24,2
2975,LANGEBIO, ,AL/JL,HI93,UNISEM21A_894,x sib,HI93-250,x sib,14K,39,25,2
2976,LANGEBIO, ,AL/JL,HI73,UNISEM21A_527,x sib,HI73-141,x sib,14K,40,25,1
2977,LANGEBIO, ,AL/JL,HI79,UNISEM21A_156,x sib,HI79-152,x sib,14K,40,24,1
2978,LANGEBIO, ,AL/JL,HI93,UNISEM21A_960,x sib,HI93-316,x sib,14K,40,23,2
2979,LANGEBIO, ,AL/JL,HI93,UNISEM21A_878,x sib,HI93-237,x sib,14K,40,22,1
2980,LANGEBIO, ,AL/JL,HI79,UNISEM21A_214,x sib,HI79-210,x sib,14K,40,21,2
2981,LANGEBIO, ,AL/JL,HI79,UNISEM21A_242,x sib,HI79-235,x sib,14K,40,20,2
2982,LANGEBIO, ,AL/JL,HI93,UNISEM21A_724,x sib,HI93-086,x sib,14K,40,19,1
2983,LANGEBIO, ,AL/JL,HI93,UNISEM21A_943,x sib,HI93-299,x sib,14K,40,18,1
2984,LANGEBIO, ,AL/JL,HI79,UNISEM21A_380,x sib,HI79-371,x sib,14K,40,17,1
2985,LANGEBIO, ,AL/JL,HI79,UNISEM21A_236,x sib,HI79-229,x sib,14K,40,16,2
2986,LANGEBIO, ,AL/JL,HI79,UNISEM21A_128,x sib,HI79-125,x sib,14K,40,15,1
2987,LANGEBIO, ,AL/JL,HI93,UNISEM21A_769,x sib,HI93-131,x sib,14K,40,14,2
2988,LANGEBIO, ,AL/JL,HI79,UNISEM21A_3,x sib,HI79-003,x sib,14K,40,13,1
2989,LANGEBIO, ,AL/JL,HI73,UNISEM21A_533,x sib,HI73-147,x sib,14K,40,12,2
2990,LANGEBIO, ,AL/JL,HI73,UNISEM21A_610,x sib,HI73-215,x sib,14K,40,11,1
2991,LANGEBIO, ,AL/JL,HI79,UNISEM21A_2,x sib,HI79-002,x sib,14K,40,10,1
2992,LANGEBIO, ,AL/JL,HI79,UNISEM21A_127,x sib,HI79-124,x sib,14K,40,9,2
2993,LANGEBIO, ,AL/JL,HI79,UNISEM21A_83,x sib,HI79-080,x sib,14K,40,8,1
2994,LANGEBIO, ,AL/JL,HI93,UNISEM21A_911,x sib,HI93-267,x sib,14K,40,7,2
2995,LANGEBIO, ,AL/JL,HI73,UNISEM21A_623,x sib,HI73-226,x sib,14K,40,6,1
2996,LANGEBIO, ,AL/JL,HI79,UNISEM21A_344,x sib,HI79-336,x sib,14K,40,5,1
2997,LANGEBIO, ,AL/JL,HI79,UNISEM21A_281,x sib,HI79-273,x sib,14K,40,4,1
2998,LANGEBIO, ,AL/JL,HI73,UNISEM21A_539,x sib,HI73-152,x sib,14K,40,3,1
2999,LANGEBIO, ,AL/JL,HI73,UNISEM21A_482,x sib,HI73-099,x sib,14K,40,2,2
3000,LANGEBIO, ,AL/JL,HI93,UNISEM21A_935,x sib,HI93-291,x sib,14K,40,1,1
