iter	RMSE
290	0.7116941797
291	0.7116907213
292	0.7112148313
293	0.7108729789
294	0.7104723803
295	0.7100807415
296	0.7094739862
297	0.7092847092
298	0.7092847092
299	0.7088729747
300	0.708451217
301	0.708451217
302	0.7082884999
303	0.7077207758
304	0.7075909429
305	0.7075174438
306	0.7070034223
307	0.7063168408
308	0.705709634
309	0.7049540265
310	0.704693963
311	0.7043555454
312	0.704178682
313	0.7031860951
314	0.7031830825
315	0.7023650269
316	0.7019433724
317	0.7019344073
318	0.7015040574
319	0.7012085911
320	0.7010138998
321	0.7007455693
322	0.7006867664
323	0.6998887189
324	0.6995642388
325	0.6992373954
326	0.6984322799
327	0.6981284269
328	0.6980038654
329	0.6973824076
330	0.6969091885
331	0.6966025827
332	0.6963390795
333	0.6963362357
334	0.6958076483
335	0.6955587164
336	0.6954480552
337	0.6948719792
338	0.6947890241
339	0.6945437754
340	0.6943684292
341	0.6938299848
342	0.6932501822
343	0.6927493491
344	0.6920713305
345	0.6917728401
346	0.6917622187
347	0.6915517847
348	0.6915517847
349	0.6914259292
350	0.6914259292
351	0.6910287571
352	0.6904512126
353	0.6898709392
354	0.6895444442
355	0.6892046262
356	0.6887791066
357	0.6885759191
358	0.6883858811
359	0.6883342644
360	0.6878030225
361	0.6875277515
362	0.6871232863
363	0.6869368225
364	0.6867449216
365	0.686417073
366	0.6862590975
367	0.6856361376
368	0.6855132704
369	0.685345033
370	0.6850210635
371	0.684938466
372	0.6846208734
373	0.6842258583
374	0.6841380835
375	0.6835086526
376	0.6830619154
377	0.6827924657
378	0.6825705345
379	0.6823233063
380	0.6820175931
381	0.6818440883
382	0.681313857
383	0.6810891576
384	0.6807361277
385	0.6806756006
386	0.680230431
387	0.6801034584
388	0.6799444239
389	0.6796573903
390	0.6791650674
391	0.6788496482
392	0.6788005446
393	0.678363592
394	0.678363592
395	0.6779806137
396	0.67716611
397	0.6769091572
398	0.6761820325
399	0.67571191
400	0.6751166084
401	0.674525357
402	0.6740199401
403	0.6736299209
404	0.6736299209
405	0.6731921964
406	0.6731082549
407	0.6728092049
408	0.6725425004
409	0.6715715829
410	0.6710481955
411	0.6706366358
412	0.6705172193
413	0.6700217192
414	0.6691955263
415	0.6690010335
416	0.6686962021
417	0.6682580926
418	0.6676487519
419	0.6675408378
420	0.667167325
421	0.6667238798
422	0.6665195125
423	0.6661703104
424	0.6657824971
425	0.6653575672
426	0.6647698562
427	0.6644489415
428	0.663870691
429	0.6634579569
430	0.662613927
431	0.6621708607
432	0.6619125662
433	0.6615244983
434	0.6605547684
435	0.660386734
436	0.6595717229
437	0.6592250191
438	0.6589694827
439	0.6586988377
440	0.6582432125
441	0.6579017529
442	0.6574672351
443	0.6572633857
444	0.6566836691
445	0.6565474522
446	0.6563150185
447	0.6557246149
448	0.6553230031
449	0.6551038624
450	0.6548630735
451	0.6545639952
452	0.6542632451
453	0.654061216
454	0.6537589919
455	0.6537589919
456	0.6529738407
457	0.6526808396
458	0.6524643735
459	0.6516643492
460	0.6513026561
461	0.6510088722
462	0.6507412866
463	0.6505862757
464	0.650092257
465	0.6500922569
466	0.6494258641
467	0.6488775623
468	0.6483155484
